# module=highfre322v
# component=frequency_window
# transition_family=fine
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=1.4121429464253092e+01
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
3.399937964505661967e+03 3.399937964505661967e+03 1.617504782555442944e+01 1.632891019750178125e-21 1.271596166504140515e-25 1.633018179366828533e-21 -2.935125536546758765e-21 1.318114272764866254e-03 6.488160686505274333e-01 7.348464145874389214e+04
3.399940916156725052e+03 3.399940916156725052e+03 1.617799947661751503e+01 1.652065506604958550e-21 3.201636802554209928e-25 1.652385670285213944e-21 -3.397289020899107623e-21 1.318113812717022033e-03 6.488160607340883734e-01 7.348470188281935407e+04
3.399943867807788138e+03 3.399943867807788138e+03 1.618095112768060062e+01 1.667544950760536946e-21 4.913443171548810350e-25 1.668036295077691759e-21 -3.892128125486149466e-21 1.318113358270949680e-03 6.488160528176493136e-01 7.348476230689481599e+04
3.399946819458850769e+03 3.399946819458850769e+03 1.618390277874323147e+01 1.679390647564383508e-21 6.290333708467285783e-25 1.680019680935230292e-21 -4.411665316637732917e-21 1.318112909426647460e-03 6.488160449012102537e-01 7.348482273097026336e+04
3.399949771109913854e+03 3.399949771109913854e+03 1.618685442980631706e+01 1.687649176078174515e-21 7.238455767452956019e-25 1.688373021654919866e-21 -4.937555097261092241e-21 1.318112466184114505e-03 6.488160369847711939e-01 7.348488315504572529e+04
3.399952722760976940e+03 3.399952722760976940e+03 1.618980608086940265e+01 1.692352842130999236e-21 7.693182871412114953e-25 1.693122160418140525e-21 -5.432075292604206609e-21 1.318112028543348864e-03 6.488160290683321341e-01 7.348494357912117266e+04
3.399955674412040025e+03 3.399955674412040025e+03 1.619275773193248824e+01 1.693519983681229971e-21 7.623519821884469343e-25 1.694282335663418601e-21 -5.821538235826659093e-21 1.318111596504349453e-03 6.488160211518931852e-01 7.348500400319663459e+04
3.399958626063103111e+03 3.399958626063103111e+03 1.619570938299557383e+01 1.691155143414943826e-21 7.034215399582978730e-25 1.691858564954902156e-21 -5.966349962942796138e-21 1.318111170067114320e-03 6.488160132354541254e-01 7.348506442727209651e+04
3.399961577714166197e+03 3.399961577714166197e+03 1.619866103405865942e+01 1.685249111431057561e-21 5.965438649762135069e-25 1.685845655296033684e-21 -5.610386793161821989e-21 1.318110749231642597e-03 6.488160053190150656e-01 7.348512485134755843e+04
3.399964529365229282e+03 3.399964529365229282e+03 1.620161268512174502e+01 1.675778836348518481e-21 4.490041108469710206e-25 1.676227840459365409e-21 -4.311143428039950432e-21 1.318110304793629296e-03 6.488159974025741183e-01 7.348518527543554956e+04
3.399967481016292368e+03 3.399967481016292368e+03 1.620456433618483061e+01 1.662707187003924400e-21 2.708593685780006796e-25 1.662978046372502398e-21 -1.409746963762187939e-21 1.318109614172824611e-03 6.488159894861165178e-01 7.348524569963153044e+04
3.399970432667355453e+03 3.399970432667355453e+03 1.620751598724791620e+01 1.645982663691144709e-21 7.425233185907974923e-26 1.646056916023003863e-21 3.698164706090861276e-21 1.318108929256143298e-03 6.488159815696590282e-01 7.348530612382752588e+04
3.399973384318418539e+03 3.399973384318418539e+03 1.621046763831100179e+01 1.625538853833319619e-21 -1.274157338198034001e-25 1.625411438099499825e-21 1.043699935598480345e-20 1.318108250043587958e-03 6.488159736532014277e-01 7.348536654802352132e+04
3.399976335969481624e+03 3.399976335969481624e+03 1.621341928937408738e+01 1.601293806370238481e-21 -3.203986039734245719e-25 1.600973407766264967e-21 1.548095109768016265e-20 1.318107576535159243e-03 6.488159657367439381e-01 7.348542697221951676e+04
3.399979287620544710e+03 3.399979287620544710e+03 1.621637094043717298e+01 1.573149233789312003e-21 -4.915420736861644277e-25 1.572657691715625892e-21 1.470239541510196110e-20 1.318106908730859103e-03 6.488159578202864486e-01 7.348548739641551219e+04
3.399982239271607796e+03 3.399982239271607796e+03 1.621932259150025857e+01 1.540989542137209011e-21 -6.291805814207552732e-25 1.540360361555788217e-21 8.821608415668167996e-21 1.318106246630689708e-03 6.488159499038288480e-01 7.348554782061150763e+04
3.399985190922670881e+03 3.399985190922670881e+03 1.622227424256334416e+01 1.504680672571971001e-21 -7.239323625229680904e-25 1.503956740209448028e-21 2.284416018603123166e-21 1.318105590234651273e-03 6.488159419873713585e-01 7.348560824480750307e+04
3.399988142573733967e+03 3.399988142573733967e+03 1.622522589362642975e+01 1.464068734582440059e-21 -7.693389320667217362e-25 1.463299395650373417e-21 -2.280252029684944672e-21 1.318104939542745968e-03 6.488159340709137579e-01 7.348566866900349851e+04
3.399991094224797052e+03 3.399991094224797052e+03 1.622817754468951534e+01 1.418978407134398772e-21 -7.623053089885287394e-25 1.418216101825410260e-21 -4.735820439339086720e-21 1.318104294554974876e-03 6.488159261544562684e-01 7.348572909319949395e+04
3.399994045875859683e+03 3.399994045875859683e+03 1.623112919575214619e+01 1.369211079635935023e-21 -7.033109746644971691e-25 1.368507768661270582e-21 -5.759641810770159652e-21 1.318103655271339082e-03 6.488159182379986678e-01 7.348578951739547483e+04
