# module=highfre644
# component=frequency_window
# transition_family=bohr
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=5.3809271737277893e+00
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
1.124572976202159225e+03 1.124572976202159225e+03 2.481437751864768870e+01 1.697717275551845613e-21 8.642370422383692555e-23 1.784140979775682445e-21 -3.106184207249895991e-21 4.887060822196733212e-01 5.480833873356347752e-01 3.732003483784518903e+04
1.124574477056637761e+03 1.124574477056637761e+03 2.481587837312622469e+01 1.484472125287408099e-21 8.050356389727759081e-23 1.564975689184685725e-21 -2.713382052304806338e-21 4.887037195925224009e-01 5.480833720723986557e-01 3.732010028275121294e+04
1.124575977911116070e+03 1.124575977911116070e+03 2.481737922760453330e+01 1.253010144575138480e-21 7.437575209292096302e-23 1.327385896668059372e-21 -2.346620746195755626e-21 4.887013777541760473e-01 5.480833568091625363e-01 3.732016572765722231e+04
1.124577478765594378e+03 1.124577478765594378e+03 2.481888008208284191e+01 1.002238007137184904e-21 6.805608217585021803e-23 1.070294089313035181e-21 -2.004420964894723097e-21 4.886990567049789846e-01 5.480833415459264168e-01 3.732023117256323894e+04
1.124578979620072914e+03 1.124578979620072914e+03 2.482038093656137789e+01 7.309629300378022009e-22 6.156086240041957970e-23 7.925237924382218159e-22 -1.685213173511306976e-21 4.886967564452758261e-01 5.480833262826902974e-01 3.732029661746926286e+04
1.124580480474551223e+03 1.124580480474551223e+03 2.482188179103968650e+01 4.378910882338064090e-22 5.490685382451292350e-23 4.927979420583193090e-22 -1.387426105443444996e-21 4.886944769754115181e-01 5.480833110194542890e-01 3.732036206237527222e+04
1.124581981329029759e+03 1.124581981329029759e+03 2.482338264551822249e+01 1.216293051051097213e-22 4.811122706109023726e-23 1.697405321661999468e-22 -1.109538841100934006e-21 4.886922182957294525e-01 5.480832957562181695e-01 3.732042750728129613e+04
1.124583482183508067e+03 1.124583482183508067e+03 2.482488349999653110e+01 -2.193080229683091080e-22 4.119151797260174431e-23 -1.781165049957073696e-22 -8.501098225785681008e-22 4.886899804065735764e-01 5.480832804929820501e-01 3.732049295218731277e+04
1.124584983037986603e+03 1.124584983037986603e+03 2.482638435447506708e+01 -5.864838513263770569e-22 3.416558242340939001e-23 -5.523182689029677139e-22 -6.077913286135006235e-22 4.886877633082866712e-01 5.480832652297459306e-01 3.732055839709333668e+04
1.124586483892464912e+03 1.124586483892464912e+03 2.482788520895337570e+01 -9.815109063720962785e-22 2.705155020699931573e-23 -9.544593561650969451e-22 -3.813348847472504678e-22 4.886855670012121289e-01 5.480832499665098112e-01 3.732062384199934604e+04
1.124587984746943221e+03 1.124587984746943221e+03 2.482938606343168431e+01 -1.406005097096123853e-21 1.986777826785100233e-23 -1.386137318828272810e-21 -1.695911281602130597e-22 4.886833914856917871e-01 5.480832347032736918e-01 3.732068928690536268e+04
1.124589485601421757e+03 1.124589485601421757e+03 2.483088691791022029e+01 -1.861510171679916069e-21 1.263280333145763572e-23 -1.848877368348458390e-21 2.849360595879586752e-23 4.886812367620673170e-01 5.480832194400375723e-01 3.732075473181138659e+04
1.124590986455900065e+03 1.124590986455900065e+03 2.483238777238852890e+01 -2.349378965145898961e-21 5.365294087422295509e-24 -2.344013671058476664e-21 2.138825236680382001e-22 4.886791028306808893e-01 5.480832041768014529e-01 3.732082017671739595e+04
1.124592487310378601e+03 1.124592487310378601e+03 2.483388862686706489e+01 -2.870589108875858459e-21 -1.915996993391641246e-24 -2.872505105869250179e-21 3.874545119716287769e-22 4.886769896918731204e-01 5.480831889135653334e-01 3.732088562162341987e+04
1.124593988164856910e+03 1.124593988164856910e+03 2.483538948134537350e+01 -3.425459642201549746e-21 -9.192282031567095399e-24 -3.434651924233117124e-21 5.500105965836576271e-22 4.886748973459849044e-01 5.480831736503292140e-01 3.732095106652943650e+04
1.124595489019335218e+03 1.124595489019335218e+03 2.483689033582368211e+01 -4.013217441864082864e-21 -1.644478621839098135e-23 -4.029662228082473658e-21 7.022803600373848003e-22 4.886728257933566355e-01 5.480831583870930945e-01 3.732101651143545314e+04
1.124596989873813754e+03 1.124596989873813754e+03 2.483839119030221809e+01 -4.631335472931173312e-21 -2.365479626097621314e-23 -4.654990269192149575e-21 8.449281075374295679e-22 4.886707750343275980e-01 5.480831431238570861e-01 3.732108195634146978e+04
1.124598490728292063e+03 1.124598490728292063e+03 2.483989204478052670e+01 -5.274523697524643715e-21 -3.080370865278331785e-23 -5.305327406177427303e-21 9.785586626439796907e-22 4.886687450692382417e-01 5.480831278606209667e-01 3.732114740124748641e+04
1.124599991582770599e+03 1.124599991582770599e+03 2.484139289925906269e+01 -5.933191117791408023e-21 -3.787307768734493879e-23 -5.971064195478753015e-21 1.103722735477586564e-21 4.886667358984264631e-01 5.480831125973848472e-01 3.732121284615351033e+04
1.124601492437248908e+03 1.124601492437248908e+03 2.484289375373737130e+01 -6.591105100743630506e-21 -4.484466303268628070e-23 -6.635949763776316416e-21 1.220921843698632615e-21 4.886647475222318793e-01 5.480830973341487278e-01 3.732127829105952696e+04
