# module=highfre644v
# component=frequency_window
# transition_family=bohr
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=5.3812334869975658e+00
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
1.106956205621828985e+03 1.106956205621828985e+03 7.364523778449438396e+00 1.039341311029721999e-21 7.505714537911048809e-23 1.114398456408832416e-21 1.802413207173260569e-21 4.968508313618371641e-01 7.160394921472185148e-01 3.642172904600567563e+04
1.106958142889691317e+03 1.106958142889691317e+03 7.366461046311769678e+00 9.686511080866161865e-22 8.307199723883868407e-23 1.051723105325454788e-21 1.703575802531814952e-21 4.968436010435054451e-01 7.160394760703933104e-01 3.642177813453634008e+04
1.106960080157553421e+03 1.106960080157553421e+03 7.368398314173873587e+00 8.931639073886946099e-22 9.073049128823232869e-23 9.838943986769268798e-22 1.595168528772795033e-21 4.968363966245251673e-01 7.160394599935681059e-01 3.642182722306698997e+04
1.106962017425415752e+03 1.106962017425415752e+03 7.370335582036204869e+00 8.125499286610435206e-22 9.799980810783371390e-23 9.105497367688773050e-22 1.476570084907247950e-21 4.968292181056370715e-01 7.160394439167429015e-01 3.642187631159764715e+04
1.106963954693278083e+03 1.106963954693278083e+03 7.372272849898536151e+00 7.264435709477048070e-22 1.048487975880877044e-22 8.312923685357924995e-22 1.347079493309562310e-21 4.968220654875857845e-01 7.160394278399176970e-01 3.642192540012830432e+04
1.106965891961140414e+03 1.106965891961140414e+03 7.374210117760867433e+00 6.344388841213477071e-22 1.112481124084820731e-22 7.456869965298297567e-22 1.205906222655121189e-21 4.968149387711169873e-01 7.160394117630924926e-01 3.642197448865896877e+04
1.106967829229002518e+03 1.106967829229002518e+03 7.376147385622971342e+00 5.360843515267839798e-22 1.171703337721178207e-22 6.532546852989018475e-22 1.052158817985042019e-21 4.968078379569791925e-01 7.160393956862672882e-01 3.642202357718961866e+04
1.106969766496864850e+03 1.106969766496864850e+03 7.378084653485302624e+00 4.308768691507442680e-22 1.225900888812727719e-22 5.534669580320170164e-22 8.848318561914706974e-22 4.968007630459198021e-01 7.160393796094420837e-01 3.642207266572027584e+04
1.106971703764727181e+03 1.106971703764727181e+03 7.380021921347633906e+00 3.182547887863962831e-22 1.274841596285699680e-22 4.457389484149662746e-22 7.027910520108279264e-22 4.967937140386904926e-01 7.160393635326168793e-01 3.642212175425093301e+04
1.106973641032589512e+03 1.106973641032589512e+03 7.381959189209965189e+00 1.975898708398233717e-22 1.318315820559790318e-22 3.294214528958024035e-22 5.047563729906660677e-22 4.967866909360438843e-01 7.160393474557916749e-01 3.642217084278159746e+04
1.106975578300451616e+03 1.106975578300451616e+03 7.383896457072069097e+00 6.817797124840173445e-23 1.356137361440896006e-22 2.037917073924913351e-22 2.892831027087461590e-22 4.967796937387353728e-01 7.160393313789663594e-01 3.642221993131224735e+04
1.106977515568313947e+03 1.106977515568313947e+03 7.385833724934400379e+00 -7.077173579390980954e-23 1.388144255559620748e-22 6.804268976205226527e-23 5.474095302544859710e-23 4.967727224475190773e-01 7.160393153021411550e-01 3.642226901984290453e+04
1.106979452836176279e+03 1.106979452836176279e+03 7.387770992796731662e+00 -2.201492149963429613e-22 1.414199469811195192e-22 -7.872926801522344206e-23 -2.007083683739011960e-22 4.967657770631536129e-01 7.160392992253159505e-01 3.642231810837356898e+04
1.106981390104038610e+03 1.106981390104038610e+03 7.389708260659062944e+00 -3.809579332516060450e-22 1.434191487996070107e-22 -2.375387844519990343e-22 -4.791341841486021543e-22 4.967588575863988165e-01 7.160392831484907461e-01 3.642236719690422615e+04
1.106983327371900941e+03 1.106983327371900941e+03 7.391645528521394226e+00 -5.543313445467890960e-22 1.448034788021056452e-22 -4.095278657446834508e-22 -7.828585511819623141e-22 4.967519640180155793e-01 7.160392670716655417e-01 3.642241628543488332e+04
1.106985264639763045e+03 1.106985264639763045e+03 7.393582796383498135e+00 -7.415516634918041872e-22 1.455670207671221246e-22 -5.959846427246820392e-22 -1.114473046703588398e-21 4.967450963587678459e-01 7.160392509948403372e-01 3.642246537396553322e+04
1.106987201907625376e+03 1.106987201907625376e+03 7.395520064245829417e+00 -9.440709763684776708e-22 1.457065197386859994e-22 -7.983644566297916714e-22 -1.476844119754513114e-21 4.967382546094186169e-01 7.160392349180151328e-01 3.642251446249619767e+04
1.106989139175487708e+03 1.106989139175487708e+03 7.397457332108160699e+00 -1.163534490364421124e-21 1.452213958943844854e-22 -1.018313094470036638e-21 -1.873095396381575376e-21 4.967314387707350010e-01 7.160392188411899284e-01 3.642256355102685484e+04
1.106991076443350039e+03 1.106991076443350039e+03 7.399394599970491981e+00 -1.401805247298102393e-21 1.441137469480692964e-22 -1.257691500350033049e-21 -2.306546403594901051e-21 4.967246488434854390e-01 7.160392027643647239e-01 3.642261263955751201e+04
1.106993013711212143e+03 1.106993013711212143e+03 7.401331867832595890e+00 -1.660988741623014660e-21 1.423883390746524837e-22 -1.518600402548362246e-21 -2.780571391146119654e-21 4.967178848284402592e-01 7.160391866875395195e-01 3.642266172808816191e+04
1.106994950979074474e+03 1.106994950979074474e+03 7.403269135694927172e+00 -1.943454271226132199e-21 1.400525863962807473e-22 -1.803401684829851475e-21 -3.298313722696334503e-21 4.967111467263695679e-01 7.160391706107143150e-01 3.642271081661882636e+04
1.106996888246936805e+03 1.106996888246936805e+03 7.405206403557258454e+00 -2.251846926029395434e-21 1.371165191213600400e-22 -2.114730406908035394e-21 -3.862140250435375320e-21 4.967044345380473014e-01 7.160391545338891106e-01 3.642275990514948353e+04
1.106998825514799137e+03 1.106998825514799137e+03 7.407143671419589737e+00 -2.589078829512226328e-21 1.335927404674508313e-22 -2.455486089044775568e-21 -4.472626475909291608e-21 4.966977482642486730e-01 7.160391384570637952e-01 3.642280899368014070e+04
1.107000762782661241e+03 1.107000762782661241e+03 7.409080939281693645e+00 -2.958278604782321912e-21 1.294963725612872741e-22 -2.828782232221034756e-21 -5.126689461161027583e-21 4.966910879057511163e-01 7.160391223802385907e-01 3.642285808221079060e+04
1.107002700050523572e+03 1.107002700050523572e+03 7.411018207144024927e+00 -3.362660307419154266e-21 1.248449915377841393e-22 -3.237815315881370197e-21 -5.814159460877286858e-21 4.966844534633313990e-01 7.160391063034133863e-01 3.642290717074145505e+04
1.107004637318385903e+03 1.107004637318385903e+03 7.412955475006356210e+00 -3.805240025146821185e-21 1.196585521284282973e-22 -3.685581473018392605e-21 -6.511468031809623740e-21 4.966778449377706184e-01 7.160390902265881818e-01 3.642295625927211222e+04
1.107006574586248234e+03 1.107006574586248234e+03 7.414892742868687492e+00 -4.288265826827053161e-21 1.139593020517119111e-22 -4.174306524775341156e-21 -7.169991164408226390e-21 4.966712623298504825e-01 7.160390741497629774e-01 3.642300534780276939e+04
1.107008511854110338e+03 1.107008511854110338e+03 7.416830010730791400e+00 -4.812106373474946505e-21 1.077716865812698756e-22 -4.704334686893676982e-21 -7.694571008073868532e-21 4.966647056403555860e-01 7.160390580729377730e-01 3.642305443633342657e+04
1.107010449121972670e+03 1.107010449121972670e+03 7.418767278593122683e+00 -5.373107610933670224e-21 1.011222436900257719e-22 -5.271985367243644311e-21 -7.904685368546420800e-21 4.966581748700695798e-01 7.160390419961125685e-01 3.642310352486408374e+04
1.107012386389835001e+03 1.107012386389835001e+03 7.420704546455453965e+00 -5.959456994752810342e-21 9.403949024138983550e-23 -5.865417504511420330e-21 -7.468500604461571943e-21 4.966516700197801670e-01 7.160390259192873641e-01 3.642315261339474091e+04
1.107014323657697332e+03 1.107014323657697332e+03 7.422641814317785247e+00 -6.543147959544029396e-21 8.655379968812723228e-23 -6.456594159855902493e-21 -5.810587493567629566e-21 4.966451910902763833e-01 7.160390098424621597e-01 3.642320170192539808e+04
1.107016260925559664e+03 1.107016260925559664e+03 7.424579082180116529e+00 -7.064235264583968991e-21 7.869727182373042336e-23 -6.985537992760238509e-21 -2.066183832659781976e-21 4.966387380823484299e-01 7.160389937656369552e-01 3.642325079045605526e+04
1.107018198193421767e+03 1.107018198193421767e+03 7.426516350042220438e+00 -7.399890882505516436e-21 7.050359513864877566e-23 -7.329387287366867096e-21 4.586969195643512662e-21 4.966323109967895055e-01 7.160389776888117508e-01 3.642329987898671243e+04
1.107020135461284099e+03 1.107020135461284099e+03 7.428453617904551720e+00 -7.304579765008788727e-21 6.200790236184628408e-23 -7.242571862646942208e-21 1.348915732058158037e-20 4.966259098343916989e-01 7.160389616119865464e-01 3.642334896751736960e+04
1.107022072729146430e+03 1.107022072729146430e+03 7.430390885766883002e+00 -6.302516454516822598e-21 5.324661983456027735e-23 -6.249269834682262250e-21 2.037197606756993455e-20 4.966195345959515395e-01 7.160389455351612309e-01 3.642339805604802677e+04
1.107024009997008761e+03 1.107024009997008761e+03 7.432328153629214285e+00 -3.539782943815339355e-21 4.425731132568100138e-23 -3.495525632489658365e-21 1.966118163477189965e-20 4.966131852822663895e-01 7.160389294583360265e-01 3.642344714457868395e+04
1.107025947264870865e+03 1.107025947264870865e+03 7.434265421491318193e+00 2.198391121690834471e-21 3.507851698651702235e-23 2.233469638677351382e-21 1.201556996672085921e-20 4.966068618941361645e-01 7.160389133815108220e-01 3.642349623310934112e+04
1.107027884532733196e+03 1.107027884532733196e+03 7.436202689353649475e+00 1.141261086835041161e-20 2.574958811948909772e-23 1.143836045646990103e-20 3.298708885743283292e-21 4.966005644323599477e-01 7.160388973046856176e-01 3.642354532163999829e+04
1.107029821800595528e+03 1.107029821800595528e+03 7.438139957215980758e+00 2.062900976035677521e-20 1.631051847997523378e-23 2.064532027883675171e-20 -2.858625484376489515e-21 4.965942928977410409e-01 7.160388812278604131e-01 3.642359441017065546e+04
