# module=highfre644
# component=selected_time_window
# transition_family=bohr
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# transition_frequency_obs_hz=5.3809271737277893e+00
# time_frame=source_and_observer
# columns=t_source_s t_obs_s t_rel_obs_s h_backreacted_binary h_axion h_total h_pure_binary_template overlap_abs eccentricity mean_anomaly
1.103428513800000474e+03 1.103428513800000474e+03 3.669915116488937201e+00 1.870321973103717091e-20 -3.908727369346843034e-23 1.866413245734370361e-20 1.111146331923284054e-21 4.997027612919794359e-01 5.482982959825226654e-01 3.639845753671781131e+04
1.103430100869425587e+03 1.103430100869425587e+03 3.671502185914050642e+00 1.872798539295134165e-20 -4.660925775033165187e-23 1.868137613520100992e-20 1.234021445922020307e-21 4.997032400007560549e-01 5.482982798611126807e-01 3.639852667672647658e+04
1.103431687938850700e+03 1.103431687938850700e+03 3.673089255339164083e+00 1.463154261222975669e-20 -5.399704872716966154e-23 1.457754556350258715e-20 1.348587253660147640e-21 4.997037404976321651e-01 5.482982637397025849e-01 3.639859581673514185e+04
1.103433275008275814e+03 1.103433275008275814e+03 3.674676324764277524e+00 8.398362773360387849e-21 -6.122937429586231958e-23 8.337133399064525165e-21 1.455327122129476096e-21 4.997042627826636108e-01 5.482982476182926002e-01 3.639866495674380712e+04
1.103434862077700927e+03 1.103434862077700927e+03 3.676263394189390965e+00 2.278567094737033446e-21 -6.828540969962573880e-23 2.210281685037407613e-21 1.554679119596422156e-21 4.997048068559067358e-01 5.482982314968825044e-01 3.639873409675246512e+04
1.103436449147126041e+03 1.103436449147126041e+03 3.677850463614504406e+00 -2.479229112602656414e-21 -7.514483771635048704e-23 -2.554373950319007042e-21 1.647040246982807842e-21 4.997053727174176618e-01 5.482982153754725196e-01 3.639880323676113039e+04
1.103438036216551154e+03 1.103438036216551154e+03 3.679437533039617847e+00 -5.627503410305971812e-21 -8.178790715583364215e-23 -5.709291317461805807e-21 1.732770209606059838e-21 4.997059603672525108e-01 5.482981992540624239e-01 3.639887237676979566e+04
1.103439623285976268e+03 1.103439623285976268e+03 3.681024602464731288e+00 -7.420416650252697384e-21 -8.819548972853408808e-23 -7.508612139981231096e-21 1.812194773307233540e-21 4.997065698054675154e-01 5.482981831326524391e-01 3.639894151677846094e+04
1.103441210355401154e+03 1.103441210355401154e+03 3.682611671889617355e+00 -8.233016204487979430e-21 -9.434913511947657162e-23 -8.327365339607455955e-21 1.885608746606420793e-21 4.997072010321184643e-01 5.482981670112423433e-01 3.639901065678711893e+04
1.103442797424826267e+03 1.103442797424826267e+03 3.684198741314730796e+00 -8.394940872470665694e-21 -1.002311241186082107e-22 -8.495171996589273352e-21 1.953278627100671771e-21 4.997078540472622010e-01 5.482981508898323586e-01 3.639907979679578420e+04
