distance_kpc\alpha,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3
5.747694424835352728e-02,2.515393324337502595e-13,2.559483909981864459e-12,1.273319446668777102e-11,5.014727504804482769e-11,6.198855981648967714e-10,2.135936860396484560e-01,1.450901625761889191e+00,7.712354249157630015e+00,3.409923166005581407e+01,1.245885884918480855e+02,3.414066837689553040e+02
6.649435996665045701e-02,2.174276464020984792e-13,2.212387848719314383e-12,1.100642383553005005e-11,4.334671592581560107e-11,5.358218348736714489e-10,1.846278750627640963e-01,1.254142334712097018e+00,6.666468485819086354e+00,2.947497559221107721e+01,1.076929134789555462e+02,2.951079300386562068e+02
7.692649574879141527e-02,1.879419053972684172e-13,1.912362087556767022e-12,9.513823570687670773e-12,3.746839244511675405e-11,4.631581046201602829e-10,1.595901680533014511e-01,1.084065913077442822e+00,5.762417108533763432e+00,2.547782292640714275e+01,9.308849031823365294e+01,2.550878307661869542e+02
8.899530352885233475e-02,1.624547769745571749e-13,1.653023341292295615e-12,8.223637421810529300e-12,3.238723862781000570e-11,4.003484291115436612e-10,1.379478680054289086e-01,9.370538505633099202e-01,4.980965709709311184e+00,2.202273108042507488e+01,8.046459836395098364e+01,2.204949267085955000e+02
1.029575567312512735e-01,1.404240023323542891e-13,1.428853973123975563e-12,7.108415658848959311e-12,2.799514891040958787e-11,3.460564828581090669e-10,1.192405178800710897e-01,8.099783493448883265e-01,4.305488293195224081e+00,1.903619024441956498e+01,6.955265433715759116e+01,1.905932264906518014e+02
1.191103133283006738e-01,1.213808593275488176e-13,1.235084602565912295e-12,6.144431057351312938e-12,2.419867811277500702e-11,2.991271617922572422e-10,1.030701040174683975e-01,7.001357776963155199e-01,3.721613543073951202e+00,1.645465940161406238e+01,6.012049800414354195e+01,1.647465478066295077e+02
1.377972359833557481e-01,1.049201900414682088e-13,1.067592633108800450e-12,5.311174083010323152e-12,2.091705331804675038e-11,2.585620075164977899e-10,8.909258808198504409e-02,6.051891480888231811e-01,3.216919062556005571e+00,1.422321444294756532e+01,5.196745278397290235e+01,1.424049821389286024e+02
1.594159037455999683e-01,9.069178072493143865e-14,9.228145407207900581e-13,4.590916535110486864e-12,1.808045536499915944e-11,2.234979643118853396e-10,7.701058737459907932e-02,5.231183959339649192e-01,2.780667077669912501e+00,1.229437961324367024e+01,4.492005619561443552e+01,1.230931950197291371e+02
1.844262708585534816e-01,7.839291072393439715e-14,7.976700570571811636e-13,3.968334365045876546e-12,1.562853339020189882e-11,1.931890169454597964e-10,6.656704778093615327e-02,4.521774011128844029e-01,2.403575982634073682e+00,1.062711742699546491e+01,3.882836930655692953e+01,1.064003129144950179e+02
2.133604526501410859e-01,6.776191185847284055e-14,6.894966343168199974e-13,3.430181645074292503e-12,1.350912081570059742e-11,1.669903186065324841e-10,5.753977474181686674e-02,3.908568378906954743e-01,2.077622866357808018e+00,9.185955563426309922e+00,3.356278666351187923e+01,9.197118156278213519e+01
2.468340467068649846e-01,5.857260122519649048e-14,5.959927974332158156e-13,2.965008750735284593e-12,1.167712546383966560e-11,1.443444712811173232e-10,4.973670588839298329e-02,3.378520628185376351e-01,1.795872818666780946e+00,7.940232164828863404e+00,2.901127883395775342e+01,7.949880979064199948e+01
2.855592301990109161e-01,5.062946897737086434e-14,5.151691783734716922e-13,2.562918761040250221e-12,1.009357018554291559e-11,1.247696666686295799e-10,4.299182476344876047e-02,2.920353574130430951e-01,1.552331384607861020e+00,6.863443481307956340e+00,2.507700889141777978e+01,6.871783803075777541e+01
3.303599120128339339e-01,4.376351869836152511e-14,4.453061907610342239e-13,2.215356893656106910e-12,8.724763590660326455e-12,1.078494353294806409e-10,3.716162869005810304e-02,2.524319350542807427e-01,1.341817027682113750e+00,5.932679982553633380e+00,2.167627213331144276e+01,5.939889258791539817e+01
3.821892620633118853e-01,3.782867186929946853e-14,3.849174443164122054e-13,1.914928495149659409e-12,7.541583237013736255e-12,9.322378596858348996e-11,3.212207563871193744e-02,2.181992016299688919e-01,1.159850888560425286e+00,5.128138939476660774e+00,1.873671519724893741e+01,5.134370553234654011e+01
4.421499907374489280e-01,3.269865993313521282e-14,3.327181207291735991e-13,1.655241713891253068e-12,6.518856027421824164e-12,8.058154633602111657e-11,2.776594513510050044e-02,1.886088286797704683e-01,1.002561493811291449e+00,4.432703105495551910e+00,1.619579668605994982e+01,4.438089639281652410e+01
5.115178099293145042e-01,2.826433783128803717e-14,2.875976381329019236e-13,1.430771508359389153e-12,5.634822632161376249e-12,6.965374279148668503e-11,2.400055705977802156e-02,1.630312576316463868e-01,8.666023872436459108e-01,3.831576533586496858e+00,1.399945655013766022e+01,3.836232590164390643e+01
5.917685748188824535e-01,2.443136185625888782e-14,2.485960225982101555e-13,1.236742097515489763e-12,4.870674542029352328e-12,6.020787767749539226e-11,2.074579980536923537e-02,1.409223054456467394e-01,7.490809314064323932e-01,3.311969780816048647e+00,1.210096591715555370e+01,3.315994421469466147e+01
6.846096838574657895e-01,2.111818241468636694e-14,2.148834839286523330e-13,1.069025352287639152e-12,4.210153902443795278e-12,5.204298274796088995e-11,1.793242583880421195e-02,1.218115866896266608e-01,6.474967644405624778e-01,2.862827802834250424e+00,1.045993289837528906e+01,2.866306654974073354e+01
7.920164050192552985e-01,1.825430899529313991e-14,1.857427612184484595e-13,9.240529663618061637e-13,3.639207614737788548e-12,4.498534340991944468e-11,1.550057840532069985e-02,1.052925057173962897e-01,5.596886029041386879e-01,2.474594749068449229e+00,9.041443219289019950e+00,2.477601828023554020e+01
9.162739011886741336e-01,1.577881042754449810e-14,1.605538625598080418e-13,7.987405376447091439e-13,3.145688345378084257e-12,3.888480280826474850e-11,1.339851802869723892e-02,9.101360602498453911e-02,4.837882587590009442e-01,2.139010654449649884e+00,7.815317390833840250e+00,2.141609938201529317e+01
1.060025848806882331e+00,1.363901852283666569e-14,1.387808742250648153e-13,6.904219451714420398e-13,2.719096081843215682e-12,3.361156711997505215e-11,1.158152171300286769e-02,7.867109273573420769e-02,4.181808921936427392e-01,1.848935702127186165e+00,6.755468616908806290e+00,1.851182492492073806e+01
1.226330684177563191e+00,1.178940751715657341e-14,1.199605586785472160e-13,5.967926252747078985e-13,2.350354736558142069e-12,2.905344408794245659e-11,1.001093142551069681e-02,6.800236912418876345e-02,3.614706546298906975e-01,1.598198318222084247e+00,5.839347777169505704e+00,1.600140417440802310e+01
1.418726674116596254e+00,1.019062547447003113e-14,1.036924988318753220e-13,5.158605401713263652e-13,2.031619045957574847e-12,2.511345604202893627e-11,8.653331616497299608e-03,5.878044966320836867e-02,3.124509909411591901e-01,1.381463866714925937e+00,5.047463676670463251e+00,1.383142594483341270e+01
1.641307195375129924e+00,8.808657043179741701e-15,8.963057885392527139e-14,4.459037957839360180e-13,1.756107656302910414e-12,2.170777662248523552e-11,7.479838277011446705e-03,5.080913072747577502e-02,2.700789690384990949e-01,1.194121150848162172e+00,4.362968355287282662e+00,1.195572223426374237e+01
1.898807824465263305e+00,7.614099752635191882e-15,7.747562028296074135e-14,3.854340070835564210e-13,1.517958845021628699e-12,1.876394730789295002e-11,6.465484408754495170e-03,4.391881620629333599e-02,2.334530906660980398e-01,1.032184306270523377e+00,3.771298634048795506e+00,1.033438596374526774e+01
2.196707090793235118e+00,6.581538452330492659e-15,6.696901676839552270e-14,3.331646315217104173e-13,1.312105807926588021e-12,1.621933580285176113e-11,5.588688831458206614e-03,3.796290921228286791e-02,2.017941113133637498e-01,8.922079986226059134e-01,3.259866271994038112e+00,8.932921922657243385e+00
2.541343036702639058e+00,5.689004584489871964e-15,5.788723201628876576e-14,2.879835968208536043e-13,1.134168858952267339e-12,1.401980348639174650e-11,4.830797026217319504e-03,3.281469311674015121e-02,1.744284611720655631e-01,7.712141213252701188e-01,2.817790141396371073e+00,7.721512855841814904e+00
2.940048064334710887e+00,4.917508785637588870e-15,5.003704387801382133e-14,2.489296407577156111e-13,9.803622488721274827e-13,1.211855357002246686e-11,4.175684245855769590e-03,2.836463555320558813e-02,1.507739144062917869e-01,6.666284340083468152e-01,2.435664723170923640e+00,6.674385077933718158e+00
