# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=CE.csv
2.737861250134051261e+01 2.707525358324577519e-11
2.753526294455906864e+01 2.721658160343595483e-11
2.769280968452602565e+01 2.735899060068215125e-11
2.785125784952472472e+01 2.750284241252916069e-11
2.801061259718072094e+01 2.764850640870576902e-11
2.817087911462958161e+01 2.779635970348609043e-11
2.833206261868577513e+01 2.794678741864483642e-11
2.849416835601250853e+01 2.810018299885713774e-11
2.865720160329248145e+01 2.825694858152000062e-11
2.882116766739962088e+01 2.841749542307933975e-11
2.898607188557185665e+01 2.858224438411087796e-11
2.915191962558487049e+01 2.875162647557960514e-11
2.931871628592681134e+01 2.892608346886650327e-11
2.948646729597396998e+01 2.910606857242561984e-11
2.965517811616755139e+01 2.929204717814560607e-11
2.982485423819146675e+01 2.948449768077071296e-11
2.999550118515099228e+01 2.968391237408509487e-11
3.016712451175259346e+01 2.989079842785066242e-11
3.033972980448478651e+01 3.010567894992898042e-11
3.051332268179992013e+01 3.032909413839351453e-11
3.068790879429706919e+01 3.056160252892101947e-11
3.086349382490596227e+01 3.080378234326023615e-11
3.104008348907202119e+01 3.105623294511666708e-11
3.121768353494237047e+01 3.131957641042716987e-11
3.139629974355285214e+01 3.159445921964722602e-11
3.157593792901637997e+01 3.188155408041458568e-11
3.175660393871208598e+01 3.218156188976487982e-11
3.193830365347563927e+01 3.249521384593990577e-11
3.212104298779071598e+01 3.282327372080975331e-11
3.230482788998154575e+01 3.316654030497183039e-11
3.248966434240648482e+01 3.352585003877318140e-11
3.267555836165274741e+01 3.390207984373649549e-11
3.286251599873226326e+01 3.429101172833274330e-11
3.305054333927869692e+01 3.468453566213677145e-11
3.323964650374544050e+01 3.508257567985524451e-11
3.342983164760488535e+01 3.548518360810444111e-11
3.362110496154883066e+01 3.589241186826335911e-11
3.381347267168996495e+01 3.630431348329919640e-11
3.400694103976448446e+01 3.672094208467109727e-11
3.420151636333594780e+01 3.714235191931323695e-11
3.439720497600032445e+01 3.756859785669814919e-11
3.459401324759210894e+01 3.799973539598090426e-11
3.479194758439162882e+01 3.843582067322522309e-11
3.499101442933362449e+01 3.887691046871279410e-11
3.519122026221700139e+01 3.932306221433638087e-11
3.539257159991566226e+01 3.977433400107752846e-11
3.559507499659069651e+01 4.023078458657033520e-11
3.579873704390372779e+01 4.069247340275207203e-11
3.600356437123149789e+01 4.115946056360144421e-11
3.620956364588155907e+01 4.163180687296557464e-11
3.641674157330939465e+01 4.210957383247703990e-11
3.662510489733666930e+01 4.259282364956172185e-11
3.683466040037078670e+01 4.308161924553854071e-11
3.704541490362547762e+01 4.357602426381165802e-11
3.725737526734309313e+01 4.407610307815777303e-11
3.747054839101777901e+01 4.458192080110753021e-11
3.768494121362001437e+01 4.509354329242337740e-11
3.790056071382257130e+01 4.561103716767505706e-11
3.811741391022764702e+01 4.613446980691309260e-11
3.833550786159534596e+01 4.666390936344209860e-11
3.855484966707337691e+01 4.719942477269447069e-11
3.877544646642819259e+01 4.774108576120620639e-11
3.899730544027743662e+01 4.828896285569574223e-11
3.922043381032357701e+01 4.884312739224655684e-11
3.944483883958902481e+01 4.940365152559559498e-11
3.967052783265261695e+01 4.997060823852835903e-11
3.989750813588729983e+01 5.054407135138127560e-11
4.012578713769926964e+01 5.112411553165350835e-11
4.035537226876849104e+01 5.171081630372912191e-11
4.058627100229059437e+01 5.230425005871061154e-11
4.081849085422012280e+01 5.290449406436549787e-11
4.105203938351514381e+01 5.351162647518669790e-11
4.128692419238330302e+01 5.412572634256874645e-11
4.152315292652939149e+01 5.474687362510077934e-11
4.176073327540405700e+01 5.537514919897719594e-11
4.199967297245419928e+01 5.601063486852830812e-11
4.223997979537470826e+01 5.665341337687164775e-11
4.248166156636162327e+01 5.730356841668553536e-11
4.272472615236668503e+01 5.796118464110594390e-11
4.296918146535347205e+01 5.862634767474901002e-11
4.321503546255497952e+01 5.929914412485973559e-11
4.346229614673258368e+01 5.997966159258861138e-11
4.371097156643650550e+01 6.066798868439756533e-11
4.396106981626783750e+01 6.136421502359694777e-11
4.421259903714209827e+01 6.206843126201518879e-11
4.446556741655408018e+01 6.278072909180163150e-11
4.471998318884444501e+01 6.350120125736550131e-11
4.497585463546780460e+01 6.422994156745179935e-11
4.523319008526222262e+01 6.496704490735534798e-11
4.549199791472030086e+01 6.571260725127540533e-11
4.575228654826186414e+01 6.646672567481177944e-11
4.601406445850830096e+01 6.722949836760503977e-11
4.627734016655814031e+01 6.800102464612050317e-11
4.654212224226456129e+01 6.878140496658020748e-11
4.680841930451435218e+01 6.957074093804267916e-11
