# label=highfre pure binary template
# source_module=highfre_pure_peters
# source_component=pure_binary_template
# source_transition_family=none
# source_frequency_frame=observer
# source_redshift=0.0000000000000000e+00
# source_luminosity_distance_m=3.0856775814913671e+19
# rate_model=remnant_cloud_effective
# r0_gpc3_yr=1.0000000000000000e+00
# r_eff0_gpc3_yr=1.0000000000000000e+00
# rate_evolution=constant
# z_model=1.0000000000000000e+01
# f_ret=1.0000000000000000e+00
# f_2g=1.0000000000000000e+00
# f_cloud=1.0000000000000000e+00
# f_duty=1.0000000000000000e+00
# remnant_spin=6.9999999999999996e-01
# spin_model=GerosaBerti2017
# kerr_m_omega_h=2.0418368367551071e-01
# cloud_azimuthal_m=0
# superradiant_spin_threshold=nan
# nu_cut_hz=1.3085122500000000e+02
# characteristic_mass_msun=5.0500000000000000e-01
# hubble_h0_si=2.1953038906696129e-18
# rho_c_energy_density_si=7.7465150935130668e-10
# omega_gw_formula=f_over_rho_c_H0_integral_R_eff_dE_dnu_over_1plusz_Ez
# single_event_spectrum_frame=local_source_z0
# energy_spectrum_prefactor=two_pi_squared_c_cubed_over_G
# source_angle_average_factor=8.0000000000000004e-01
# single_event_fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# columns=frequency_hz omega_gw
8.219394797962040200e-02 1.264030991271364177e-33
8.421171884400487084e-02 1.354329236018632666e-33
8.627902375999831064e-02 1.442265701263204141e-33
8.839707873399257898e-02 1.533165099401842609e-33
9.056712962399697531e-02 1.629151212171873954e-33
9.279045287246223683e-02 1.730966372088324028e-33
9.506835625709496307e-02 1.838827355289983272e-33
9.740217966010332462e-02 1.953176486250124331e-33
9.979329585632776278e-02 2.074869322923716770e-33
1.022431113207184494e-01 2.204302969792684683e-33
1.047530670556361260e-01 2.341931189447063640e-33
1.073246394384614888e-01 2.488082412622688543e-33
1.099593410900136375e-01 2.642879901210234038e-33
1.126587217642861100e-01 2.807031059440861051e-33
1.154243692600256666e-01 2.981697740774223995e-33
1.182579103546885224e-01 3.167430711268170776e-33
1.211610117613254878e-01 3.364867503077798143e-33
1.241353811089563469e-01 3.574495836464807119e-33
1.271827679470119987e-01 3.796397546919004219e-33
1.303049647744339290e-01 4.031739307183843885e-33
1.335038080940380567e-01 4.282095261914953423e-33
1.367811794927609736e-01 4.548223323722183850e-33
1.401390067484255819e-01 4.831006653032902351e-33
1.435792649636759843e-01 5.131149270417846773e-33
1.471039777277504956e-01 5.448693057915715196e-33
1.507152183067735907e-01 5.785439752288178999e-33
1.544151108632689784e-01 6.143531904526140715e-33
1.582058317056095620e-01 6.523997429338460749e-33
1.620896105681414179e-01 6.928044035265402861e-33
1.660687319227320824e-01 7.356646175576268829e-33
1.701455363225164719e-01 7.809816862003598844e-33
1.743224217786303876e-01 8.290225376404782111e-33
1.786018451707404309e-01 8.800769351247806874e-33
1.829863236922026348e-01 9.342845607973958858e-33
1.874784363306964130e-01 9.918034921102313690e-33
1.920808253852074876e-01 1.052766981916840189e-32
1.967961980202498073e-01 1.117167502946055484e-32
2.016273278582441375e-01 1.185393992155182833e-32
2.065770566109856043e-01 1.257831738061157305e-32
2.116482957511631458e-01 1.334667397513256883e-32
2.168440282249118611e-01 1.416097267891160960e-32
2.221673102064085914e-01 1.502298503194049478e-32
2.276212728955387954e-01 1.593239730256573858e-32
2.332091243596955688e-01 1.689478731226549121e-32
2.389341514207911632e-01 1.791515257736440273e-32
2.447997215885952260e-01 1.899579062219690244e-32
2.508092850415318265e-01 2.013922127327565690e-32
2.569663766561043339e-01 2.134743892532874266e-32
2.632746180861387231e-01 2.261960789990170209e-32
2.697377198930732134e-01 2.396367765232226910e-32
2.763594837285406891e-01 2.538579077628678137e-32
2.831438045705334527e-01 2.688854768471179831e-32
2.900946730144613461e-01 2.847502333978173415e-32
2.972161776204556571e-01 3.014704553964326121e-32
3.045125073182939346e-01 3.190263654560021028e-32
3.119879538713648537e-01 3.375308161208839125e-32
3.196469144011189201e-01 3.570523334189137011e-32
3.274938939734944321e-01 3.776172886256054308e-32
3.355335082488347664e-01 3.992592358993617971e-32
3.437704861968596259e-01 4.219861556743361688e-32
3.522096728782841413e-01 4.457602929540975795e-32
3.608560322947267918e-01 4.707333255207139319e-32
3.697146503085764202e-01 4.969762426717344218e-32
3.787907376345400201e-01 5.246576642056430675e-32
3.880896329046299997e-01 5.826552707932319549e-32
3.976168058083915935e-01 7.488759705626333937e-32
4.073778603102232720e-01 8.069228169828223361e-32
4.173785379456748657e-01 8.517340688519887789e-32
4.276247211986684005e-01 8.987783169222812387e-32
4.381224369616239511e-01 9.481707765272279357e-32
4.488778600805314878e-01 1.000017406130096289e-31
4.598973169870463340e-01 9.585655284642259903e-26
4.711872894197512429e-01 4.250696280828581927e-24
4.827544182367682901e-01 4.524235022725334817e-24
4.946055073219713938e-01 4.842881511937009665e-24
5.067475275870866325e-01 5.106429953123074104e-24
5.191876210720433038e-01 5.468279327482208521e-24
5.319331051459802451e-01 5.763457924265549261e-24
5.449914768113885977e-01 6.174346398162647268e-24
5.583704171139100003e-01 6.504903403343570571e-24
5.720777956603944059e-01 6.971379323577495160e-24
5.861216752478678460e-01 7.341566673166714635e-24
6.005103166061416253e-01 7.870973722798868319e-24
6.152521832568420557e-01 8.285614917972678692e-24
6.303559464917271038e-01 8.886455548237288857e-24
6.458304904732119489e-01 9.350750141850793209e-24
6.616849174601123762e-01 1.003185421172061586e-23
6.779285531616692229e-01 1.055239666004469957e-23
6.945709522230107957e-01 1.132417586142892101e-23
