# label=highfre644 axion+backreaction
# source_module=highfre644v
# source_component=axion_backreaction_total
# source_transition_family=bohr
# source_frequency_frame=observer
# source_redshift=0.0000000000000000e+00
# source_luminosity_distance_m=3.0856775814913671e+19
# rate_model=remnant_cloud_effective
# r0_gpc3_yr=1.0000000000000000e+00
# r_eff0_gpc3_yr=1.0000000000000000e+00
# rate_evolution=constant
# z_model=1.0000000000000000e+01
# f_ret=1.0000000000000000e+00
# f_2g=1.0000000000000000e+00
# f_cloud=1.0000000000000000e+00
# f_duty=1.0000000000000000e+00
# remnant_spin=6.9999999999999996e-01
# spin_model=GerosaBerti2017
# kerr_m_omega_h=2.0418368367551071e-01
# cloud_azimuthal_m=4
# superradiant_spin_threshold=2.9339853300733498e-01
# nu_cut_hz=2.5809543931540094e+02
# characteristic_mass_msun=5.0500000000000000e-01
# hubble_h0_si=2.1953038906696129e-18
# rho_c_energy_density_si=7.7465150935130668e-10
# omega_gw_formula=f_over_rho_c_H0_integral_R_eff_dE_dnu_over_1plusz_Ez
# single_event_spectrum_frame=local_source_z0
# energy_spectrum_prefactor=two_pi_squared_c_cubed_over_G
# source_angle_average_factor=5.3333333333333333e-01
# single_event_fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# columns=frequency_hz omega_gw
5.444853976070596069e-01 4.186234935131216089e-24
5.587043184611796276e-01 4.466083610130789359e-24
5.732945581994127737e-01 4.763170707783640740e-24
5.882658135993931170e-01 5.080185805447091520e-24
6.036280346644852246e-01 5.417482306500168213e-24
6.193914312366298747e-01 5.776753186859952644e-24
6.355664797818795231e-01 6.160504935668356233e-24
6.521639303531281406e-01 6.568082772840940260e-24
6.691948137346784842e-01 7.004902182236070228e-24
6.866704487733750195e-01 7.467298219437725291e-24
7.046024499011956932e-01 7.963933249165607807e-24
7.230027348542806820e-01 8.489833814914902148e-24
7.418835325935514424e-01 9.087148463336580765e-24
7.612573914321596469e-01 9.690906008151854720e-24
7.811371873751884465e-01 1.033463094403349822e-23
8.015361326771398565e-01 1.101853212724245003e-23
8.224677846228878320e-01 1.174835536405936816e-23
8.439460545379533496e-01 1.252644194523227308e-23
8.659852170340641697e-01 1.335468812981169889e-23
8.885999194961703429e-01 1.424087041231516735e-23
9.118051918171954373e-01 1.518285206951061503e-23
9.356164563870126294e-01 1.619757843887416429e-23
9.600495383422791296e-01 1.729615928071689042e-23
9.851206760839273935e-01 1.981091026134620724e-23
1.010846532069331172e+00 2.127259145370145426e-23
1.037244203886285021e+00 2.269063427115116844e-23
1.064331235616192695e+00 2.419256006016870974e-23
1.092125629493980066e+00 2.596569016009099984e-23
1.120645857872514028e+00 2.981093482831247707e-23
1.149910875499462470e+00 3.184378620571593904e-23
1.179940132114747575e+00 3.397385947653160510e-23
1.210753585376991515e+00 3.622882731983002444e-23
1.242371714127509019e+00 3.864008698758250571e-23
1.274815532000701745e+00 4.119486469393823542e-23
1.308106601389861456e+00 4.393777420939932495e-23
1.342267047777693900e+00 4.684432385145297941e-23
1.377319574441077110e+00 4.996709542655839508e-23
1.413287477539812320e+00 5.329263676993902464e-23
1.450194661599429224e+00 5.689237824796485808e-23
1.488065655398292719e+00 8.846515261035034147e-23
1.526925628269616864e+00 8.448758204545842381e-23
1.566800406829170766e+00 1.005070268427441848e-22
1.607716492139845244e+00 9.577861096185200848e-23
1.649701077324436715e+00 1.142361387071191163e-22
1.692782065638396949e+00 1.086292308637105545e-22
1.736988089014539494e+00 1.298461987934704357e-22
1.782348527092017187e+00 1.232470543470025336e-22
1.828893526742252140e+00 1.507774352971481702e-22
1.876654022104749409e+00 1.559250297744280368e-22
1.925661755146160337e+00 1.853316375771759341e-22
1.975949296756209117e+00 2.131841895858458678e-22
2.027550068394543104e+00 2.458489941167126278e-22
2.080498364302880709e+00 2.427773130531479446e-22
2.134829374297195326e+00 2.792767614150757388e-22
2.190579207155134878e+00 2.775349680302972296e-22
2.247784914614156193e+00 3.373344633562644197e-22
2.306484515996393814e+00 3.397912343361053001e-22
2.366717023476554882e+00 3.833639674250182711e-22
2.428522468009699509e+00 3.888165403909325490e-22
2.491941925936102642e+00 4.949881792946487116e-22
2.557017546280871301e+00 4.907723710574239944e-22
2.623792578766503070e+00 5.897434195820325798e-22
2.692311402556944788e+00 5.849015732844951825e-22
2.762619555752320100e+00 6.680304852759436830e-22
2.834763765653858236e+00 6.652218439192964151e-22
2.908791979819202123e+00 7.560934303776058675e-22
2.984753397928703755e+00 7.916852324559740556e-22
3.062698504483865936e+00 9.998857918294743114e-22
3.142679102359724919e+00 8.935746575032371085e-22
3.224748347233388657e+00 1.143893849187472583e-21
3.308960782911702481e+00 1.031226007831085131e-21
3.395372377581429735e+00 1.352294410848367967e-21
3.484040561006133352e+00 1.229086843676545668e-21
3.575024262694384891e+00 1.620131527509099782e-21
3.668383951064747350e+00 1.409905795158628947e-21
3.764181673633528291e+00 1.876780157209341250e-21
3.862481098251977940e+00 1.609516760554631372e-21
3.963347555420428492e+00 2.180126808240690013e-21
4.066848081707379770e+00 1.830884560233157854e-21
4.173051464302514724e+00 2.351405970213312901e-21
4.282028286733129185e+00 2.021021380119725991e-21
4.393850975774458156e+00 2.671413355541559862e-21
4.508593849585046165e+00 2.406028448438329859e-21
4.626333167099092591e+00 3.044030955114135093e-21
4.747147178708719828e+00 2.743856925064393973e-21
4.871116178269710772e+00 3.474506136028425269e-21
4.998322556465411459e+00 3.196160006068979746e-21
5.128850855564140332e+00 4.053214892263200712e-21
5.262787825606591419e+00 3.644466177452240350e-21
5.400222482060555329e+00 4.411753765355593073e-21
5.541246164981192379e+00 3.865372854067618018e-21
5.685952599716333822e+00 4.941539160065223029e-21
5.834437959196969281e+00 4.434574654261548986e-21
5.986800927854512899e+00 5.605702229926171801e-21
6.143142767207141475e+00 5.123915073229169182e-21
6.303567383158939386e+00 6.343912511064285381e-21
6.468181395056523009e+00 5.948549339217581859e-21
6.637094206548979081e+00 7.230753400665834519e-21
6.810418078298354772e+00 6.841631456108411916e-21
6.988268202588888478e+00 8.198385912346466014e-21
7.170762779884568339e+00 7.876497344238465435e-21
7.358023097386095834e+00 9.227563502539894173e-21
7.550173609639185379e+00 9.022955234967836511e-21
7.747342021247894728e+00 1.037410531414089129e-20
7.949659371748110992e+00 1.032115787532732288e-20
8.157260122697302052e+00 1.167785481985268478e-20
8.370282247038662859e+00 1.175882304020064003e-20
8.588867320798849292e+00 1.315752744264452079e-20
8.813160617180518130e+00 1.336883541732848989e-20
9.043311203111892738e+00 1.470908363102410492e-20
9.279472038317644333e+00 1.516013770601986101e-20
9.521800076977136484e+00 1.644311865097179147e-20
9.770456372037216397e+00 1.715248933723469378e-20
1.002560618224919331e+01 1.837254070143137271e-20
1.028741908200091082e+01 1.939113687002593477e-20
1.055606907401721095e+01 2.049459041234946506e-20
1.083173470500331170e+01 2.153667643573224683e-20
1.111459918430826832e+01 2.243622431955455422e-20
1.140485050568712033e+01 2.419381959409890624e-20
1.170268157224302819e+01 2.495462990237999831e-20
1.200829032463198587e+01 2.711901194201278094e-20
1.232187987261551321e+01 2.723903439328820451e-20
1.264365863004901769e+01 2.987254166435198492e-20
1.297384045339501668e+01 3.022598057379523373e-20
1.331264478385373806e+01 3.345481427909140091e-20
1.366029679320519641e+01 3.349994873859747627e-20
1.401702753346012464e+01 3.730940291828226913e-20
1.438307409041872376e+01 3.711961425957596505e-20
1.475867974123948123e+01 4.159430182509848529e-20
1.514409411612309242e+01 4.113211500142948317e-20
1.553957336421835400e+01 4.630134782878643867e-20
1.594538032386078363e+01 4.540882702825598170e-20
1.636178469725672713e+01 4.524270856165752657e-20
1.678906322972956744e+01 4.590500146582271441e-20
1.722749989364654510e+01 5.039696666604335618e-20
1.767738607714873211e+01 5.060734514006943671e-20
1.813902077780985778e+01 5.597168760205457903e-20
1.861271080135211875e+01 5.578457926467108321e-20
1.909877096555151610e+01 6.215306195472107486e-20
1.959752430946783974e+01 6.117675284630776351e-20
2.010930230813898234e+01 6.839169319640200509e-20
