# label=highfre644 axion+backreaction
# source_module=highfre644
# source_component=axion_backreaction_total
# source_transition_family=bohr
# source_frequency_frame=observer
# source_redshift=0.0000000000000000e+00
# source_luminosity_distance_m=3.0856775814913671e+19
# rate_model=remnant_cloud_effective
# r0_gpc3_yr=1.0000000000000000e+00
# r_eff0_gpc3_yr=1.0000000000000000e+00
# rate_evolution=constant
# z_model=1.0000000000000000e+01
# f_ret=1.0000000000000000e+00
# f_2g=1.0000000000000000e+00
# f_cloud=1.0000000000000000e+00
# f_duty=1.0000000000000000e+00
# remnant_spin=6.9999999999999996e-01
# spin_model=GerosaBerti2017
# kerr_m_omega_h=2.0418368367551071e-01
# cloud_azimuthal_m=4
# superradiant_spin_threshold=2.9339853300733498e-01
# nu_cut_hz=3.2925508496272931e+02
# characteristic_mass_msun=5.0500000000000000e-01
# hubble_h0_si=2.1953038906696129e-18
# rho_c_energy_density_si=7.7465150935130668e-10
# omega_gw_formula=f_over_rho_c_H0_integral_R_eff_dE_dnu_over_1plusz_Ez
# single_event_spectrum_frame=local_source_z0
# energy_spectrum_prefactor=two_pi_squared_c_cubed_over_G
# source_angle_average_factor=5.3333333333333333e-01
# single_event_fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# columns=frequency_hz omega_gw
5.545503157013105880e-03 1.255360196524349502e-36
5.690105623662581637e-03 1.474658342687347187e-36
5.838478690160092514e-03 1.731475387643673180e-36
5.990720677257305518e-03 2.034773080268095290e-36
6.146932469481045103e-03 2.390049628619275104e-36
6.307217581985329231e-03 2.806173007327771764e-36
6.471682229146626456e-03 3.289728773156444786e-36
6.640435394947759480e-03 3.854451932265667222e-36
6.813588905197155710e-03 4.510564840215019244e-36
6.991257501631186963e-03 5.275757678026244226e-36
7.173558917948842824e-03 6.159660889609939569e-36
7.360613957829021184e-03 7.181316146768430640e-36
7.552546574982181050e-03 8.357695855230193600e-36
7.749483955289381172e-03 9.715461005503831828e-36
7.951556601083157455e-03 1.127535011022505310e-35
8.158898417626068642e-03 1.306216951869663044e-35
8.371646801844226382e-03 1.510195880188551126e-35
8.589942733374610756e-03 1.743391215279713053e-35
8.813930867986491044e-03 2.009085686151891731e-35
9.043759633438907403e-03 2.310911463624010957e-35
9.279581327837616717e-03 2.652818888285456181e-35
9.521552220556839252e-03 3.040409792739380388e-35
9.769832655792565212e-03 3.477043197634655542e-35
1.002458715881608502e-02 3.968909922582398786e-35
1.028598454499812104e-02 4.522727351577381698e-35
1.055419803167590050e-02 5.145693775969803858e-35
1.082940535293714854e-02 5.844470277868646114e-35
1.111178887739720095e-02 6.627438055995303194e-35
1.140153572904722967e-02 7.504071257334918006e-35
1.169883791125360742e-02 8.483709618030161060e-35
1.200389243399069966e-02 9.577395702950979829e-35
1.231690144439129102e-02 1.079754083182243750e-34
1.263807236070121388e-02 1.215715558077689515e-34
1.296761800972691392e-02 1.367115583867837271e-34
1.330575676786706005e-02 1.535607107110469150e-34
1.365271270582162598e-02 1.723002884073032562e-34
1.400871573707439081e-02 1.931322490434661588e-34
1.437400177024714121e-02 2.162831421605889054e-34
1.474881286542667654e-02 2.420012223512128210e-34
1.513339739456811064e-02 2.705647529368332371e-34
1.552801020608077405e-02 3.022835082512257511e-34
1.593291279370582722e-02 3.374980194499675545e-34
1.634837346979743991e-02 3.765938232302250698e-34
1.677466754312240127e-02 4.199905814852683028e-34
1.721207750129594496e-02 4.681657176207521229e-34
1.766089319797474466e-02 5.216394723494964011e-34
1.812141204493102759e-02 5.810029542692105120e-34
1.859393920913517129e-02 6.469035071923412370e-34
1.907878781497737708e-02 7.200740179151581109e-34
1.957627915176234079e-02 8.013232919645127187e-34
2.008674288661453297e-02 8.915588872131901775e-34
2.061051728293508689e-02 9.917950553815461596e-34
2.114794942455508128e-02 1.103154668422321207e-33
2.169939544573382117e-02 1.226903027147753176e-33
2.226522076715434922e-02 1.364439401616206004e-33
2.284580033807281224e-02 1.517330644361676217e-33
2.344151888478194362e-02 1.687326503562160044e-33
2.405277116555342570e-02 1.876380119130940353e-33
2.467996223222802474e-02 2.086673747835741950e-33
2.532350769862683551e-02 2.320663965638403539e-33
2.598383401596153497e-02 2.581101339065498792e-33
2.666137875542612390e-02 2.871072680768139072e-33
2.735659089815747208e-02 3.194044091764190401e-33
2.806993113275664184e-02 3.553906062224055595e-33
2.880187216056839805e-02 3.955009312266472594e-33
2.955289900892101376e-02 4.402207685102865629e-33
3.032350935253401089e-02 4.900934244552506482e-33
3.111421384330678372e-02 5.457283755526459858e-33
3.192553644870671503e-02 6.078109760273847537e-33
3.275801479898091118e-02 6.771131803263100092e-33
3.361220054342182323e-02 7.545071023817160446e-33
3.448865971592250668e-02 8.409750042271063956e-33
3.538797311006416924e-02 9.376222923933929520e-33
3.631073666398428046e-02 1.045687375986146908e-32
3.725756185528030645e-02 1.166558748090789519e-32
3.822907610621092273e-02 1.301795544208056782e-32
3.922592319946297673e-02 1.453158634250632158e-32
4.024876370475995169e-02 1.622642835636214584e-32
4.129827541659437939e-02 1.812512667683625639e-32
4.237515380337460169e-02 2.025320498608199600e-32
4.348011246828306642e-02 2.263929601113814619e-32
4.461388362215196191e-02 2.531544582948224033e-32
4.577721856866934225e-02 2.831772749695199509e-32
4.697088820223729172e-02 3.168705951418118565e-32
4.819568351881206580e-02 3.547002298770034281e-32
4.945241614006467418e-02 3.971934459499516590e-32
5.074191885120930834e-02 4.449409622495611732e-32
5.206504615285607179e-02 4.986038114520730734e-32
5.342267482725338024e-02 5.589296469478299385e-32
5.481570451929569654e-02 6.267719125701119588e-32
5.624505833268136912e-02 7.031016717275159132e-32
5.771168344161557717e-02 7.890080430953417646e-32
5.921655171846390564e-02 8.857105631189677210e-32
6.076066037777232837e-02 9.945892442478371830e-32
6.234503263708040394e-02 1.117225316203403036e-31
6.397071839496561163e-02 1.255412064143912720e-31
6.563879492676824579e-02 1.411154697600414054e-31
6.735036759845744458e-02 1.586714522969130779e-31
6.910657059911201605e-02 1.784705570812541183e-31
7.090856769250111769e-02 2.008120368221246673e-31
7.275755298826275252e-02 2.260292596640646981e-31
7.465475173319133240e-02 2.544935891896876149e-31
7.660142112315848628e-02 2.866261313125311489e-31
7.859885113620528052e-02 3.228999101996070124e-31
8.064836538735790927e-02 3.638386666270615771e-31
8.275132200573290242e-02 4.100428278156444649e-31
8.490911453451382984e-02 4.622104635404720144e-31
8.712317285439528936e-02 5.211239966252643731e-31
8.939496413110592510e-02 5.876639879336601519e-31
9.172599378763972300e-02 6.628433935028130925e-31
9.411780650183737551e-02 7.477897676475200771e-31
9.657198722998144857e-02 8.437679215513703899e-31
9.909016225708186520e-02 9.522391123508078088e-31
1.016740002745483429e-01 1.074826478060075138e-30
1.043252134859637692e-01 1.213363534490823877e-30
1.070455587416914434e-01 1.369958000998407544e-30
1.098368387030677906e-01 1.546943416861520144e-30
1.127009030369521131e-01 1.746995995427288044e-30
1.156396496414251185e-01 1.973102149887329817e-30
1.186550259034481747e-01 2.228605710994990894e-30
1.217490299893168176e-01 2.517335667626516653e-30
1.249237121687637314e-01 2.843534966541220999e-30
1.281811761735885125e-01 3.212089460548658366e-30
1.315235805917144285e-01 3.628379507912014640e-30
1.349531402975963079e-01 4.098569097443939428e-30
1.384721279199269128e-01 4.629463683680695956e-30
1.420828753476153505e-01 5.228833840888210793e-30
1.457877752750335043e-01 5.905271647636167367e-30
1.495892827875572317e-01 6.668585944979463214e-30
1.534899169884504366e-01 7.529532513782607064e-30
1.574922626681719284e-01 8.500243601584425640e-30
1.615989720172097965e-01 9.594147904303420998e-30
1.658127663835796406e-01 1.082637529156838138e-29
1.701364380761503092e-01 1.221376033916908881e-29
1.745728522149925244e-01 1.377484370836998976e-29
1.791249486299766047e-01 1.553037805797121314e-29
1.837957438088772544e-01 1.750309536910819042e-29
1.885883328962764394e-01 1.971799890104148218e-29
1.935058917445887927e-01 2.220285314309406390e-29
1.985516790185690161e-01 2.498838671621680751e-29
2.037290383546953854e-01 2.810786039970901576e-29
2.090414005768606309e-01 3.159728496322404035e-29
2.144922859698382145e-01 3.549377556257590251e-29
2.200853066120316837e-01 3.983763651888162581e-29
2.258241687690495936e-01 4.467348257933300168e-29
2.317126753496968616e-01 5.004824156477620658e-29
2.377547284260063953e-01 5.601062644168039812e-29
2.439543318189822396e-01 6.261004285049948681e-29
2.503155937517677621e-01 6.989618457414297914e-29
2.568427295719968306e-01 7.791831091808894408e-29
2.635400645451319024e-01 8.672372076687184329e-29
2.704120367206402920e-01 9.635563507834021799e-29
2.774631998729076843e-01 1.068509200259661399e-28
2.846982265188376937e-01 1.182391445822852531e-28
2.921219110141375919e-01 1.305397177416742128e-28
2.997391727303413411e-01 1.437616443834380267e-28
3.075550593146753608e-01 1.579040827827819227e-28
3.155747500349276313e-01 1.729586102290690214e-28
3.238035592115363626e-01 1.889267187701148457e-28
3.322469397391718537e-01 2.058464006501474640e-28
3.409104867001478967e-01 2.238495462096345257e-28
3.497999410720513680e-01 2.432677787714417743e-28
3.589211935320542612e-01 2.648406109807784659e-28
3.682802883604238686e-01 2.901067159273735882e-28
3.778834274458195419e-01 3.221546596411848426e-28
3.877369743950299652e-01 3.670873557610101148e-28
3.978474587498752046e-01 4.370245639718289674e-28
4.082215803140659127e-01 5.564659223275311064e-28
4.188662135928891139e-01 7.767491125786659887e-28
4.297884123486610530e-01 1.211970499419739812e-27
4.409954142749664130e-01 2.139638614862226194e-27
4.524946457927813692e-01 4.340178062666397229e-27
4.642937269716584381e-01 1.065390502297192874e-26
4.764004765792344553e-01 4.086751742489028826e-26
4.888229172624072305e-01 5.705639104798093408e-25
5.015692808636154076e-01 1.203853454794234729e-24
5.146480138757418832e-01 1.363832200098143182e-24
5.280677830392616068e-01 1.488651707082232801e-24
5.418374810853314738e-01 1.612024896988322283e-24
5.559662326286410883e-01 1.741788830597922229e-24
5.704634002139209459e-01 1.881744811618538513e-24
5.853385905201168304e-01 2.039022028193032155e-24
6.006016607263422458e-01 2.233226306366828077e-24
6.162627250438276194e-01 2.723785771824263196e-24
6.323321614181930395e-01 4.824097469330159439e-24
6.488206184064880810e-01 5.304675608536014899e-24
6.657390222335539676e-01 5.675387443409490130e-24
6.830985840323849922e-01 6.057772695361523294e-24
7.009108072732874728e-01 6.461558171346046319e-24
7.191874953867576359e-01 6.891011336011198442e-24
7.379407595851315005e-01 7.347929181036644991e-24
7.571830268881893922e-01 7.835124975139860889e-24
7.769270483580322795e-01 8.354670455181201274e-24
7.971859075486875668e-01 8.908749833126341367e-24
8.179730291760477501e-01 9.499251519669054498e-24
8.393021880138740176e-01 1.012868536740513042e-23
8.611875180217785086e-01 1.079853893628868986e-23
8.836435217112187379e-01 1.151314163549317314e-23
9.066850797557179931e-01 1.227526797366584248e-23
9.303274608516779454e-01 1.308844348271503135e-23
