# label=highfre axion+backreaction
# source_module=highfre322
# source_component=axion_backreaction_total
# source_transition_family=fine
# source_frequency_frame=observer
# source_redshift=0.0000000000000000e+00
# source_luminosity_distance_m=3.0856775814913671e+19
# rate_model=remnant_cloud_effective
# r0_gpc3_yr=1.0000000000000000e+00
# r_eff0_gpc3_yr=1.0000000000000000e+00
# rate_evolution=constant
# z_model=1.0000000000000000e+01
# f_ret=1.0000000000000000e+00
# f_2g=1.0000000000000000e+00
# f_cloud=1.0000000000000000e+00
# f_duty=1.0000000000000000e+00
# remnant_spin=6.9999999999999996e-01
# spin_model=GerosaBerti2017
# kerr_m_omega_h=2.0418368367551071e-01
# cloud_azimuthal_m=2
# superradiant_spin_threshold=5.5045871559633019e-01
# nu_cut_hz=1.0806033479629879e+02
# characteristic_mass_msun=5.0500000000000000e-01
# hubble_h0_si=2.1953038906696129e-18
# rho_c_energy_density_si=7.7465150935130668e-10
# omega_gw_formula=f_over_rho_c_H0_integral_R_eff_dE_dnu_over_1plusz_Ez
# single_event_spectrum_frame=local_source_z0
# energy_spectrum_prefactor=two_pi_squared_c_cubed_over_G
# source_angle_average_factor=8.0000000000000004e-01
# single_event_fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# columns=frequency_hz omega_gw
1.630560841988583105e-03 1.324513013464787534e-36
1.673205957492947000e-03 1.442356681592982528e-36
1.716966398368528161e-03 1.568058509484153236e-36
1.761871334443308474e-03 1.706637641156937136e-36
1.807950698442711878e-03 1.854533378536619163e-36
1.855235205942140945e-03 2.017368654255989902e-36
1.903756375841375971e-03 2.191238497946003376e-36
1.953546551374423131e-03 2.382433374032517997e-36
2.004638921668877062e-03 2.586700051364636667e-36
2.057067543869109567e-03 2.811060370123735909e-36
2.110867365838091803e-03 3.050880400241327756e-36
2.166074249452918862e-03 3.313981321798551767e-36
2.222724994509629737e-03 3.595353709596409872e-36
2.280857363253195602e-03 3.903724860523598507e-36
2.340510105549086037e-03 4.233714235565188361e-36
2.401722984713131580e-03 4.594983106507525979e-36
2.464536804016967397e-03 4.981770711049418988e-36
2.528993433886652081e-03 5.404813196573697320e-36
2.595135839812669643e-03 5.858042354504395168e-36
2.663008110989840711e-03 6.353322234876803240e-36
2.732655489706310292e-03 6.884212035826026140e-36
2.804124401501126903e-03 7.463863172090637121e-36
2.877462486110580510e-03 8.085624778310326650e-36
2.952718629223895219e-03 8.764005640575037211e-36
3.029942995069439052e-03 9.489097107554518160e-36
3.109187059853182975e-03 1.024532683441043144e-35
3.190503646071706466e-03 1.106230769081987048e-35
3.273946957722615424e-03 1.194495348067358754e-35
3.359572616435830238e-03 1.289864051167170624e-35
3.447437698549836275e-03 1.392929073338339672e-35
3.537600773157625281e-03 1.504317991440697935e-35
3.630121941147681532e-03 1.624715204123759004e-35
3.725062875266016253e-03 1.754876684665119545e-35
3.822486861225968518e-03 1.895605838024378588e-35
3.922458839893193383e-03 2.047779571862478361e-35
4.025045450573942404e-03 2.212362897976043771e-35
4.130315075435478031e-03 2.390382253294745405e-35
4.238337885088232747e-03 2.582970946021429389e-35
4.349185885360137838e-03 2.791354053399063810e-35
4.462932965294263976e-03 3.016854045578656465e-35
4.579654946401760622e-03 3.260928609552564079e-35
4.699429633202935157e-03 3.525138763804249238e-35
4.822336865090190439e-03 3.811203835818603712e-35
4.948458569547362594e-03 4.120978334549477158e-35
5.077878816760923730e-03 4.456490267315280997e-35
5.210683875659460548e-03 4.819945698556456032e-35
5.346962271418813015e-03 5.213746332854307341e-35
5.486804844471187929e-03 5.640517067801374582e-35
5.630304811057546682e-03 6.103115566774565088e-35
5.777557825363660235e-03 6.604666601118342810e-35
5.928662043281276474e-03 7.148585411256070561e-35
6.083718187836867700e-03 7.738594946934904057e-35
6.242829616331560527e-03 8.378793411460909894e-35
6.406102389237017074e-03 9.073627684743968872e-35
6.573645340893221993e-03 9.827993167687124360e-35
6.745570152055268762e-03 1.064721458142356626e-34
6.921991424337491094e-03 1.153712807769884234e-34
7.103026756604575130e-03 1.250413549823469900e-34
7.288796823360605553e-03 1.355521499300766293e-34
7.479425455188272974e-03 1.469804355399994978e-34
7.675039721291830770e-03 1.594105807591028667e-34
7.875770014198849381e-03 1.729350906196053230e-34
8.081750136677263649e-03 1.876559407828349359e-34
8.293117390925617421e-03 2.036856036238387921e-34
8.510012670095925755e-03 2.211479921972497911e-34
8.732580552210192706e-03 2.401794076649525902e-34
8.960969396533225578e-03 2.609298008674905387e-34
9.195331442465948593e-03 2.835644180680142947e-34
9.435822911025102538e-03 3.082651200871615392e-34
9.682604108977003673e-03 3.352323425689623532e-34
9.935839535694827168e-03 3.646874658716985777e-34
1.019569799281059425e-02 3.968763226367209616e-34
1.046235269673489662e-02 4.320716282179256549e-34
1.073598139411948912e-02 4.705767678159465341e-34
1.101676648033962126e-02 5.127276091966299576e-34
1.130489512107511751e-02 5.588958985385597390e-34
1.160055937707124736e-02 6.094916795465705658e-34
1.190395633216254773e-02 6.649691845436537177e-34
1.221528822464493756e-02 7.258334555005602546e-34
1.253476258208368645e-02 7.926502838551632139e-34
1.286259235964711152e-02 8.660531085522164209e-34
1.319899608205819461e-02 9.467494033926481395e-34
1.354419798925876606e-02 1.035524943442621867e-33
1.389842818588332696e-02 1.133249345281990255e-33
1.426192279464215742e-02 1.240889079892826991e-33
1.463492411371596948e-02 1.359529212440387651e-33
1.501768077826697544e-02 1.490395942421562189e-33
1.541044792617408607e-02 1.634869218314250513e-33
1.581348736810267441e-02 1.794488213863894641e-33
1.622706776202229723e-02 1.970958052189339921e-33
1.665146479228867341e-02 2.166184207980845268e-33
1.708696135340931690e-02 2.382328103177223248e-33
1.753384773861533380e-02 2.621849040362272274e-33
1.799242183336501738e-02 2.887505740314888833e-33
1.846298931390830123e-02 3.182357402222629634e-33
1.894586385104439150e-02 3.509831845903092478e-33
1.944136731920838995e-02 3.873848491461499628e-33
1.994983001102631701e-02 4.278881230654710320e-33
2.047159085748151419e-02 4.729933296554157243e-33
2.100699765383919754e-02 5.232558910105229658e-33
2.155640729147979134e-02 5.793107071052461616e-33
2.212018599579551950e-02 6.418887064102334316e-33
2.269870957030886705e-02 7.118118404911275407e-33
2.329236364717564636e-02 7.899928745650999585e-33
2.390154394423960743e-02 8.774818967755628177e-33
2.452665652880999317e-02 9.754913064413494598e-33
2.516811808833780556e-02 1.085374652759233933e-32
2.582635620817128400e-02 1.208653608151199487e-32
2.650180965657565960e-02 1.347106294057736588e-32
2.719492867720725224e-02 1.502750963621663135e-32
2.790617528923682381e-02 1.677837215994011212e-32
2.863602359532223599e-02 1.874985463915050434e-32
2.938496009763568936e-02 2.097208484553276208e-32
3.015348402215638907e-02 2.347858373255537320e-32
3.094210765144433592e-02 2.630859653145711573e-32
3.175135666611778040e-02 2.950717775447256428e-32
3.258177049526106428e-02 3.312492525303043884e-32
3.343390267599748167e-02 3.722158212344303098e-32
3.430832122246565280e-02 4.186454371651036633e-32
3.520560900444660163e-02 4.713123243382950905e-32
3.612636413589272177e-02 5.311240854587429314e-32
3.707120037361877340e-02 5.991017024238621625e-32
3.804074752641949803e-02 6.764548416250331431e-32
3.903565187488779176e-02 7.645542977105247757e-32
4.005657660221199901e-02 8.650084677622799363e-32
4.110420223624078329e-02 9.796696093405152904e-32
4.217922710310894469e-02 1.110692625530623343e-31
4.328236779272789936e-02 1.260586510846940861e-31
4.441435963644970591e-02 1.432266158444807317e-31
4.557595719722450089e-02 1.629139836051936981e-31
