# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=lisa.csv
2.972991590936394676e-04 1.190151055222115195e-08
3.001508174699206986e-04 1.167930586765213249e-08
3.030298286161185522e-04 1.146124980955975057e-08
3.059364548967665560e-04 1.124726492187328563e-08
3.088709611929698782e-04 1.103727519464918191e-08
3.118336149265395056e-04 1.083120603707216611e-08
3.148246860843671681e-04 1.062898425095915350e-08
3.178444472430246395e-04 1.043053800475845494e-08
3.208931735936082844e-04 1.023579680803465961e-08
3.239711429668124800e-04 1.004469148643060585e-08
3.270786358582532726e-04 9.857154157094420924e-09
3.302159354540252448e-04 9.673118204567733979e-09
3.333833276565118160e-04 9.492518257121980896e-09
3.365811011104379155e-04 9.315290163537510563e-09
3.398095472291745708e-04 9.141370970317448986e-09
3.430689602212954096e-04 8.970698899324596805e-09
3.463596371173878409e-04 8.803213325837055564e-09
3.496818777971218975e-04 8.638854757015191046e-09
3.530359850165766837e-04 8.477564810767717863e-09
3.564222644358340259e-04 8.319286195013709102e-09
3.598410246468285363e-04 8.163962687332280684e-09
3.632925772014748526e-04 8.011539114991686951e-09
3.667772366400538948e-04 7.861961335351198412e-09
3.702953205198827478e-04 7.715176216628983758e-09
3.738471494442480061e-04 7.571131619028730183e-09
3.774330470916267030e-04 7.429776376220161344e-09
3.810533402451811089e-04 7.291060277162331529e-09
3.847083588225388919e-04 7.154934048268763785e-09
3.883984359058587489e-04 7.021349335903097998e-09
3.921239077721838380e-04 6.890258689207674196e-09
3.958851139240871322e-04 6.761615543246703393e-09
3.996823971206100502e-04 6.635374202465361880e-09
4.035161034084985918e-04 6.511489824457893709e-09
4.073865821537366537e-04 6.389918404040179346e-09
4.112941860733881254e-04 6.270616757616587058e-09
4.152392712677341054e-04 6.153542507842999627e-09
4.192221972527306073e-04 6.038654068571979960e-09
4.232433269927649640e-04 5.925910630081945863e-09
4.273030269337393353e-04 5.815272144580554352e-09
4.314016670364586052e-04 5.706699311979668383e-09
4.355396208103498286e-04 5.600153565935152085e-09
4.397172653474976144e-04 5.495597060147878035e-09
4.439349813570094851e-04 5.392992654920280411e-09
4.481931531997095878e-04 5.292303903963466115e-09
4.524921689231657424e-04 5.193495041451767876e-09
4.568324202970519966e-04 5.096530969317856364e-09
4.612143028488509158e-04 5.002098814324286620e-09
4.656382158998983176e-04 4.911035954896435233e-09
4.701045626017711569e-04 4.822999981747889613e-09
4.746137499730320049e-04 4.737659547618145644e-09
4.791661889363134255e-04 4.654703492013280787e-09
4.837622943557732570e-04 4.573839495567673707e-09
4.884024850748933154e-04 4.494792919435262005e-09
4.930871839546566463e-04 4.417305812262974734e-09
4.978168179120750830e-04 4.341136068852961706e-09
5.025918179591000153e-04 4.266056725910451479e-09
5.074126192418983725e-04 4.191855381342898084e-09
5.122796610805071009e-04 4.118333724450174839e-09
5.171933870088694972e-04 4.045307165054900028e-09
5.221542448152535071e-04 3.972604550179383954e-09
5.271626865830595764e-04 3.900067957316453385e-09
5.322191687320184912e-04 3.827552553676223977e-09
5.373241520597858180e-04 3.754926511044949911e-09
5.424781017839312106e-04 3.682070966081631648e-09
5.476814875843403650e-04 3.608880016024029142e-09
5.529347836460085869e-04 3.535260739891001210e-09
5.582384687022616445e-04 3.461133235376743191e-09
5.635930260783746310e-04 3.386430661744751699e-09
5.689989437356259179e-04 3.311099279164456147e-09
5.744567143157565999e-04 3.234529071301138756e-09
5.799668351858716436e-04 3.153455277292551467e-09
5.855298084837617066e-04 3.068498968109003561e-09
5.911461411636639504e-04 2.980950920386311640e-09
5.968163450424604369e-04 2.892005130500125230e-09
6.025409368463202891e-04 2.802751104035573089e-09
6.083204382577895187e-04 2.714170313137104685e-09
6.141553759633291715e-04 2.627136272297293372e-09
6.200462817013185956e-04 2.542417662424959699e-09
6.259936923105039906e-04 2.460683943605562417e-09
6.319981497789302956e-04 2.382512932058012439e-09
6.380602012933224779e-04 2.308399869958949146e-09
6.441803992889612177e-04 2.238767582303559958e-09
6.503593015000156937e-04 2.173977387990275499e-09
6.565974710103808466e-04 2.114340509085546413e-09
6.628954763049806336e-04 2.060129800076442590e-09
6.692538913215822670e-04 2.011591696257970776e-09
6.756732955030951993e-04 1.968958356678018182e-09
6.821542738503768655e-04 1.932460052709065495e-09
6.886974169755437705e-04 1.901678371525022407e-09
6.953033211557939960e-04 1.874817402452468448e-09
7.019725883877466540e-04 1.851307911836745333e-09
