# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=DECIGO.csv
2.893261753183264812e-02 8.190852006457481098e-12
2.913072951815126252e-02 8.038554477954838258e-12
2.933019804813829026e-02 7.886200144612918554e-12
2.953103241053367176e-02 7.734088275217063047e-12
2.973324195768071998e-02 7.582501203294139291e-12
2.993683610596153261e-02 7.431704339622618970e-12
3.014182433623561683e-02 7.281946276897456557e-12
3.034821619428124118e-02 7.133458978482105235e-12
3.055602129124010413e-02 6.986458043244074023e-12
3.076524930406478522e-02 6.841143038598681853e-12
3.097590997596941578e-02 6.697697894084651328e-12
3.118801311688345484e-02 6.556291348037485823e-12
3.140156860390839327e-02 6.417077440222758379e-12
3.161658638177782671e-02 6.280196043619646530e-12
3.183307646332045326e-02 6.145773428906309484e-12
3.205104892992644006e-02 6.013922855583171781e-12
3.227051393201679774e-02 5.884745184073224569e-12
3.249148168951611348e-02 5.758329503545801658e-12
3.271396249232848275e-02 5.634753770636563456e-12
3.293796670081660521e-02 5.514085454650361929e-12
3.316350474628435713e-02 5.396382185255537218e-12
3.339058713146241669e-02 5.281692399088911907e-12
3.361922443099749080e-02 5.168194391547877921e-12
3.384942729194460875e-02 5.052372815013917211e-12
3.408120643426301027e-02 4.935085365785754331e-12
3.431457265131538509e-02 4.817273061115940923e-12
3.454953681037036678e-02 4.699804144047877105e-12
3.478610985310873205e-02 4.583473666877202463e-12
3.502430279613279879e-02 4.469004495433439380e-12
3.526412673147956423e-02 4.357049537510793772e-12
3.550559282713711129e-02 4.248195005282736430e-12
3.574871232756479666e-02 4.142964532973554338e-12
3.599349655421677646e-02 4.041823986329300041e-12
3.623995690606923031e-02 3.945186818513644909e-12
3.648810486015128390e-02 3.853419847084685807e-12
3.673795197207930380e-02 3.766849347958732998e-12
3.698950987659517520e-02 3.685767384175006630e-12
3.724279028810795200e-02 3.610438309430060063e-12
3.749780500123950366e-02 3.541105408499667135e-12
3.775456589137362456e-02 3.477997658720087308e-12
3.801308491520920957e-02 3.421336618695356307e-12
3.827337411131685740e-02 3.371317971597627880e-12
3.853544560069958880e-02 3.326089476573250791e-12
3.879931158735732549e-02 3.284200518109858513e-12
3.906498435885506770e-02 3.245385269214625556e-12
3.933247628689524183e-02 3.209394083891615880e-12
3.960179982789367725e-02 3.175991711283799596e-12
3.987296752355981577e-02 3.144955698058537937e-12
4.014599200148060570e-02 3.116074960451051112e-12
4.042088597570861475e-02 3.089148509908452803e-12
4.069766224735413274e-02 3.063984318470453651e-12
4.097633370518115326e-02 3.040398311937333092e-12
4.125691332620772672e-02 3.018213480536959922e-12
4.153941417631010907e-02 2.997259098245073302e-12
4.182384941083137908e-02 2.977370043158044926e-12
4.211023227519387901e-02 2.958386212389380460e-12
4.239857610551611006e-02 2.940152025872962823e-12
4.268889432923381189e-02 2.922516014226015414e-12
4.298120046572509456e-02 2.905330486463921931e-12
4.327550812694017091e-02 2.888451273875184016e-12
4.357183101803505793e-02 2.871737546770384611e-12
4.387018293800998975e-02 2.855051701118436449e-12
4.417057778035177185e-02 2.838259312282504078e-12
4.447302953368100636e-02 2.821229153178243190e-12
4.477755228240330732e-02 2.803833274193091423e-12
4.508416020736523422e-02 2.785947142143131408e-12
4.539286758651478459e-02 2.767449835403549303e-12
4.570368879556605674e-02 2.748224292132928577e-12
4.601663830866890847e-02 2.728157608233523766e-12
4.633173069908278624e-02 2.707141381347570864e-12
4.664898063985555010e-02 2.685072096798276259e-12
4.696840290450658706e-02 2.661851550945942522e-12
4.729001236771494809e-02 2.637387306955777513e-12
4.761382400601184978e-02 2.611593177476928122e-12
4.793985289847819964e-02 2.584430793916145748e-12
4.826811422744682611e-02 2.556328338571684905e-12
4.859862327920932978e-02 2.527495106176212992e-12
4.893139544472811797e-02 2.498026424734361898e-12
4.926644622035293575e-02 2.468015047193875993e-12
4.960379120854265661e-02 2.437550954863220591e-12
4.994344611859173610e-02 2.406721191197844636e-12
5.028542676736174472e-02 2.375609724854145253e-12
5.062974908001808411e-02 2.344297340773195381e-12
5.097642909077133161e-02 2.312861557947716507e-12
5.132548294362415664e-02 2.281376572439405223e-12
5.167692689312288618e-02 2.249913224149238173e-12
5.203077730511464910e-02 2.218538985802415939e-12
5.238705065750930839e-02 2.187317972585064030e-12
5.274576354104686809e-02 2.156310970866304925e-12
5.310693266007014690e-02 2.125575484448550245e-12
5.347057483330246858e-02 2.095165796816829114e-12
5.383670699463109777e-02 2.065133047894129275e-12
5.420534619389555386e-02 2.035525323861640381e-12
5.457650959768182986e-02 2.006387758661965380e-12
5.495021449012156556e-02 1.977762645870441510e-12
5.532647827369714666e-02 1.949689559696497592e-12
5.570531847005190385e-02 1.922205483957102199e-12
5.608675272080611979e-02 1.895344947948615012e-12
5.647079878837866357e-02 1.869140168235125857e-12
5.685747455681390561e-02 1.843621195459509147e-12
5.724679803261480820e-02 1.818810956467299649e-12
5.763878734558117861e-02 1.794471342979571222e-12
5.803346074965416018e-02 1.770457446017273836e-12
5.843083662376605952e-02 1.746764906790768645e-12
5.883093347269641865e-02 1.723389424840400854e-12
5.923376992793354112e-02 1.700326757255966363e-12
5.963936474854220071e-02 1.677572717906495540e-12
6.004773682203728979e-02 1.655123176680595467e-12
6.045890516526315067e-02 1.632974058736584466e-12
6.087288892527938783e-02 1.611121343762930426e-12
6.128970738025225906e-02 1.589561065248640953e-12
6.170937994035263080e-02 1.568289309763047551e-12
6.213192614865969271e-02 1.547302216245775267e-12
6.255736568207105608e-02 1.526595975305711976e-12
6.298571835221920823e-02 1.506166828529571412e-12
6.341700410639385110e-02 1.486011067799787840e-12
6.385124302847103306e-02 1.466125034621436406e-12
6.428845533984815785e-02 1.446505119458042645e-12
6.472866140038591176e-02 1.427147761076641031e-12
6.517188170935614422e-02 1.408049445901147731e-12
6.561813690639653474e-02 1.389206707374726942e-12
6.606744777247185174e-02 1.370616125330624914e-12
6.651983523084145644e-02 1.352274325371175212e-12
6.697532034803385659e-02 1.334177978255528757e-12
6.743392433482751913e-02 1.316323799295209566e-12
6.789566854723878830e-02 1.298708547757982079e-12
6.836057448751621524e-02 1.281329026279597109e-12
6.882866380514203464e-02 1.264182080283376003e-12
6.929995829784015016e-02 1.247264597407780456e-12
6.977447991259128068e-02 1.230573506941321933e-12
7.025225074665508718e-02 1.214105779265277612e-12
7.073329304859890532e-02 1.197858425303713828e-12
7.121762921933416646e-02 1.181828495981064200e-12
