# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=ET.csv
5.926912145753676420e+00 2.061498805049967775e-10
5.969944125971814231e+00 1.982979564323709371e-10
6.013288537229247055e+00 1.884984793694354595e-10
6.056947647912270583e+00 1.751506467291958559e-10
6.100923742876662281e+00 1.606920991401362797e-10
6.145219123567252417e+00 1.471450928499213466e-10
6.189836108138373483e+00 1.359424583152571252e-10
6.234777031575171158e+00 1.280890862573113538e-10
6.280044245815804338e+00 1.236501238578719415e-10
6.325640119874543110e+00 1.198107227448531496e-10
6.371567039965729151e+00 1.162224322887709316e-10
6.417827409628672264e+00 1.128902974548262623e-10
6.464423649853430653e+00 1.098183477696918806e-10
6.511358199207510467e+00 1.070099274660253407e-10
6.558633513963485484e+00 1.044680181101509330e-10
6.606252068227547625e+00 1.021955555431773447e-10
6.654216354068984707e+00 1.001957440648490076e-10
6.702528881650597015e+00 9.847237188153973219e-11
6.751192179360067769e+00 9.703013296565201570e-11
6.800208793942287500e+00 9.587496168345641907e-11
6.849581290632625219e+00 9.501438790182276337e-11
6.899312253291184582e+00 9.445792185434157712e-11
6.949404284538029053e+00 9.421747992306789075e-11
6.999860005889382286e+00 9.430786478367309971e-11
7.050682057894822385e+00 9.474731620731079436e-11
7.101873100275482464e+00 9.555815238720013983e-11
7.153435812063229982e+00 9.676708552121110167e-11
7.205372891740879915e+00 9.817732941472294261e-11
7.257687057383413354e+00 9.960812562546612141e-11
7.310381046800235261e+00 1.010597736744991265e-10
7.363457617678437650e+00 1.025325774479776018e-10
7.416919547727131246e+00 1.040268452607695762e-10
7.470769634822819860e+00 1.055428899209980275e-10
7.525010697155809503e+00 1.070810287955232528e-10
7.579645573377702839e+00 1.086415838763802315e-10
7.634677122749964795e+00 1.102248818481842681e-10
7.690108225293545097e+00 1.118312541565183303e-10
7.745941781939607473e+00 1.134610370773176439e-10
7.802180714681355767e+00 1.151145717872654508e-10
7.858827966726935621e+00 1.167922044352140715e-10
7.915886502653480150e+00 1.184942862146476838e-10
7.973359308562247172e+00 1.202211734372004172e-10
8.031249392234904860e+00 1.219732276072464724e-10
8.089559783290930284e+00 1.237508154975766660e-10
8.148293533346164352e+00 1.255543092261783163e-10
8.207453716172521396e+00 1.272738125629770768e-10
8.267043427858846272e+00 1.283053205563864764e-10
8.327065786972939421e+00 1.286642380098260287e-10
